DimHalteID,StopID,StopName,Latitude,Longitude,City
82,B00764P,Haris Hotel Kelapa Gading,-6.157718,106.91053,Jakarta Utara
83,B05245P,SMA Budi Utomo,-6.167046,106.838,Jakarta Pusat
84,B05613P,Taman Lestari Indah,-6.296499,106.77774,Jakarta Selatan
85,P00253,Tegalan,-6.203101,106.85715,Jakarta Timur
86,B00222P,Bundaran Senayan 2,-6.227877,106.80068,Jakarta Pusat
87,B02073P,Komplek Wijaya Kusuma 4,-6.229031,106.90495,Jakarta Timur
88,B00611P,Gelora Bung Karno 1,-6.224642,106.8056,Jakarta Selatan
89,B02092P,KPP Pratama Tanah Abang,-6.197731,106.8144,Jakarta Pusat
90,B04238P,Sbr. Pospol PIK Penggilingan,-6.203474,106.93242,Jakarta Timur
91,P00071,Gelora Bung Karno,-6.224217,106.8058,Jakarta Selatan
92,P00020,Buaran,-6.215132,106.91768,Jakarta Timur
93,B00824P,Jaha,-6.292428,106.81245,Jakarta Selatan
94,B05265P,SMAN 28,-6.286109,106.83318,Jakarta Selatan
95,B01622P,Jln. Swadaya Raya,-6.228375,106.91677,Jakarta Timur
96,B00886P,Jln. Balai Rakyat,-6.224651,106.8991,Jakarta Timur
97,B06573P,SPBU Jln. DI Panjaitan,-6.233702,106.8766,Jakarta Timur
98,P00024,Buncit Indah,-6.274333,106.83029,Jakarta Selatan
99,B04304P,Sbr. Rukan Radin Inten II,-6.235496,106.92272,Jakarta Timur
100,P00004,ASEAN,-6.239889,106.79897,Jakarta Selatan
101,B03157P,RS Mitra Keluarga Kemayoran,-6.152358,106.85802,Jakarta Pusat
102,B05418P,SPBU Srengseng Raya,-6.218822,106.76037,Jakarta Barat
103,P00193,Pulo Gadung 2,-6.183098,106.90872,Jakarta Timur
104,B01809P,Kampus IISIP,-6.323176,106.83487,Jakarta Selatan
105,B02960P,Pos Masuk Halim Squadron 1,-6.270578,106.87774,Jakarta Timur
106,P00056,Explorer Tanah Abang,-6.184305,106.81158,Jakarta Pusat
107,B06273P,Tebet Eco Park Utara,-6.237129,106.85238,Jakarta Selatan
108,P00168,Penas Kalimalang,-6.23907,106.878,Jakarta Timur
109,B05943P,Gg. Pancong,-6.146605,106.92363,Jakarta Utara
110,B00825P,Jak Lingko Tanah Abang 2,-6.183885,106.81165,Jakarta Pusat
111,P00104,Karet Sudirman,-6.212457,106.82003,Jakarta Selatan
112,B03277P,Rusun Kapuk Muara,-6.135667,106.76299,Jakarta Utara
113,B04582P,Sbr. Villa Ampera,-6.273031,106.81562,Jakarta Selatan
114,B05637P,Taman Patimura,-6.232872,106.80081,Jakarta Selatan
115,B03174P,RS Setia Mitra 1,-6.281325,106.7964,Jakarta Selatan
116,B01403P,Jln. Minyak Raya,-6.253372,106.83813,Jakarta Selatan
117,B00720P,Gunung Agung,-6.181755,106.83717,Jakarta Pusat
118,B02791P,Perum Pondok Kopi Indah 1,-6.221642,106.94136,Jakarta Timur
119,B03591P,Sbr. Gereja Oikumene,-6.262305,106.88696,Jakarta Timur
120,P00031,Cawang Otista,-6.243607,106.86876,Jakarta Timur
121,B03272P,Rusun Flamboyan,-6.131366,106.72427,Jakarta Barat
122,B03414P,SDN Pondok Jagung 2,-6.256133,106.65144,
123,B01009P,Jln. Cipinang Muara III,-6.220029,106.8995,Jakarta Timur
124,B01574P,Jln. Sentosa Tambun Rengas,-6.176636,106.96234,Jakarta Timur
125,B03285P,Rusun Penjaringan,-6.130702,106.79487,Jakarta Utara
126,B05401P,SPBG Jakpro,-6.117747,106.79188,Jakarta Utara
127,B02196P,Mall Thamrin City,-6.194341,106.81453,Jakarta Pusat
128,P00064,Garuda Taman Mini,-6.290154,106.88116,Jakarta Timur
129,B00999P,Jln. Cideng Timur I,-6.169801,106.81103,Jakarta Pusat
130,B02830P,Pharmin,-6.182988,106.81306,Jakarta Pusat
131,B01950P,Kel. Susukan,-6.312595,106.87518,Jakarta Timur
132,P00176,Petojo,-6.169984,106.81698,Jakarta Pusat
133,B05825P,Univ. Borobudur 2,-6.241463,106.89608,Jakarta Timur
134,P00146,Pangeran Jayakarta,-6.137611,106.81792,Jakarta Barat
135,B03080P,Rawa Binong Lubang Buaya,-6.297294,106.903,Jakarta Timur
136,B04836P,Simpang H. Muchtar Kejaksaan Raya,-6.225407,106.73791,Jakarta Selatan
137,B01888P,Kec. Tebet 1,-6.23204,106.84534,Jakarta Selatan
138,P00297,BNN LRT,-6.245863,106.871143,Jakarta Timur
139,B02411P,Menara Duta,-6.208617,106.82986,Jakarta Selatan
140,P00011,Bekasi Barat,-6.250045,106.99167,
141,B05771P,Tol Kb. Jeruk 2,-6.189835,106.76681,Jakarta Barat
142,B01493P,Jln. Pinang II Pondok Labu,-6.310414,106.79665,Jakarta Selatan
143,B04549P,Sbr. The Wave,-6.214426,106.8363,Jakarta Selatan
144,B00791P,Imigrasi Jaktim 1,-6.214787,106.88182,Jakarta Timur
145,P00153,Pasar Induk Kramat Jati,-6.294215,106.87203,Jakarta Timur
146,B02663P,Ps. Pisang Rawa Buaya,-6.156887,106.72783,Jakarta Barat
147,P00211,S Parman Podomoro City Arah Barat,-6.175587,106.79223,Jakarta Barat
148,P00228,SMK 57,-6.290967,106.82365,Jakarta Selatan
149,P00271,Walikota Jakarta Utara Arah Selatan,-6.118845,106.89347,Jakarta Utara
150,B06431P,SDN Utan Kayu Selatan 23 Pagi,-6.203858,106.87078,Jakarta Timur
151,P00189,Pramuka LIA,-6.192238,106.86858,Jakarta Timur
152,B06864P,Gg. Berdikari,-6.343622,106.833138,Jakarta Selatan
153,B02229P,Masjid Al Bakrie,-6.219141,106.83784,Jakarta Selatan
154,B00230P,Carrefour Meruya Ilir,-6.197521,106.75129,Jakarta Barat
155,B01838P,Karet Tengsin,-6.20698,106.81696,Jakarta Pusat
156,P00156,Pasar Kramat Jati,-6.268822,106.86663,Jakarta Timur
157,B05867P,Wahidin 2,-6.169193,106.83975,Jakarta Pusat
158,B01787P,JPO Blok G,-6.188861,106.81135,Jakarta Pusat
159,B04678P,Senopati,-6.230687,106.80809,Jakarta Selatan
160,B01063P,Jln. Gading Ayu I,-6.148155,106.90987,Jakarta Utara
161,P00044,CSW 1,-6.23994,106.79843,Jakarta Selatan
162,P00222,Setiabudi Utara,-6.209189,106.830237,Jakarta Selatan
163,B05614P,Taman Mahoni,-6.340472,106.87479,Jakarta Timur
164,B02873P,Plaza Sentral,-6.216247,106.81676,Jakarta Selatan
165,B05849P,Utan Panjang,-6.169541,106.85209,Jakarta Pusat
166,B04456P,Sbr. SMKN 60,-6.186045,106.7721,Jakarta Barat
167,B03156P,RS Mitra Keluarga 2,-6.24088,106.99285,
168,B04556P,Sbr. TK Kartika VIII -13,-6.345264,106.82746,Jakarta Selatan
169,B00694P,Grand Sahid,-6.210975,106.82059,Jakarta Pusat
170,B01829P,Karang Asri,-6.112414,106.77306,Jakarta Utara
171,P00048,Departemen Pertanian,-6.294641,106.82213,Jakarta Selatan
172,B05584P,Taman DDN,-6.312565,106.7965,Jakarta Selatan
173,B05887P,Wisma Budi,-6.214325,106.83073,Jakarta Selatan
174,B04301P,Sbr. RSUD Tanah Abang,-6.191139,106.81506,Jakarta Pusat
175,B00066P,Arsip Nasional RI 1,-6.279439,106.81987,Jakarta Selatan
176,P00260,Tomang Mandala,-6.176875,106.80037,Jakarta Barat
177,B02941P,Pool Hiba Utama 1,-6.206384,106.90269,Jakarta Timur
178,B02361P,Masjid Luar Batang,-6.126266,106.8044,Jakarta Utara
179,P00252,Tegal Parang Arah Timur,-6.239005,106.83106,Jakarta Selatan
180,P00002,Ahmad Yani Bea Cukai,-6.205526,106.87378,Jakarta Timur
181,P00267,Utan Kayu Rawamangun,-6.197515,106.87404,Jakarta Timur
182,B02757P,Persada Purnawira Halim,-6.259498,106.88584,Jakarta Timur
183,P00081,Indosiar,-6.163376,106.77514,Jakarta Barat
184,B02538P,One Belpark 1,-6.304695,106.79445,Jakarta Selatan
185,B01695P,Jln. Veteran 1,-6.253781,106.83581,Jakarta Selatan
186,B05454P,St. Kebayoran,-6.239001,106.78198,Jakarta Selatan
187,B04101P,Sbr. MNC Center,-6.182744,106.83084,Jakarta Pusat
188,B06652P,Penggilingan 1,-6.214459,106.93945,Jakarta Timur
189,B03822P,Sbr. Jln. Pulo Gundul,-6.186269,106.85159,Jakarta Pusat
190,P00247,Tanah Merdeka Arah Timur,-6.307866,106.87389,Jakarta Timur
191,B00192P,BSI Cengkareng,-6.147973,106.72781,Jakarta Barat
192,B01516P,Jln. Primanota,-6.168008,106.91097,Jakarta Utara
193,P00224,Slamet Riyadi,-6.208533,106.85929,Jakarta Timur
194,B05163P,Simpang Sunter Indah Raya,-6.153695,106.87931,Jakarta Utara
195,B00153P,BKKBN 2,-6.253103,106.88108,Jakarta Timur
196,B01448P,Jln. Panca Warga IV,-6.239508,106.88341,Jakarta Timur
197,B03228P,Ruko Boulevard Barat Raya,-6.152164,106.89078,Jakarta Utara
198,B00040P,Ampera Yos Sudarso,-6.122624,106.89322,Jakarta Utara
199,B06533P,Jln. Bujana Tirta Raya 2,-6.205537,106.87659,Jakarta Timur
200,P00142,Pal Putih,-6.184631,106.84402,Jakarta Pusat
201,P00057,Flyover Jatinegara,-6.215175,106.87356,Jakarta Timur
202,P00225,Slipi Kemanggisan Arah Selatan,-6.189781,106.79726,Jakarta Barat
203,B05735P,The Food Hall Kb. Jeruk,-6.190971,106.75768,Jakarta Barat
204,B05666P,Tanah Abang 2,-6.181926,106.81409,Jakarta Pusat
205,B05083P,Simpang Pondok Bambu Batas 2,-6.241533,106.90058,Jakarta Timur
206,B02848P,Pintu Kawasan 2,-6.1896,106.90629,Jakarta Timur
207,B05531P,STIS,-6.231063,106.86716,Jakarta Timur
208,P00086,Jatinegara RS Premier,-6.221412,106.86807,Jakarta Timur
209,B00136P,Bidara 1,-6.106097,106.9595,Jakarta Utara
210,P00076,Gunung Sahari Mangga Dua,-6.136817,106.83237,Jakarta Utara
211,B03543P,Sbr. Gg. Langga,-6.266354,106.88136,Jakarta Timur
212,B00041P,Ananda Pulo Gadung,-6.185254,106.90716,Jakarta Timur
213,B02159P,LP Cipinang,-6.214568,106.88574,Jakarta Timur
214,B02325P,Masjid Jami Al Wiqoyah,-6.326852,106.82337,Jakarta Selatan
215,B04733P,Simpang Budaya Batu Ampar 1,-6.273166,106.86047,Jakarta Timur
216,B04410P,Sbr. Sisma Medikal,-6.113231,106.91761,Jakarta Utara
217,B01539P,Jln. Rawa Segaran,-6.306765,106.8919,Jakarta Timur
218,B04383P,Sbr. Sekolah Corpatarin,-6.227355,106.94388,Jakarta Timur
219,B02934P,Ponpes Darunnajah,-6.24664,106.7628,Jakarta Selatan
220,B05405P,SPBU Gedong Panjang,-6.130757,106.80557,Jakarta Utara
221,B02398P,Mega Syariah,-6.228294,106.83335,Jakarta Selatan
222,B00264P,Cipinang Kb. Nanas 1,-6.231595,106.87615,Jakarta Timur
223,B00285P,Cut Meutia,-6.187542,106.83294,Jakarta Pusat
224,B03697P,Sbr. Jln. Flamboyan Srengseng,-6.201447,106.75576,Jakarta Barat
225,P00008,Bandengan Selatan,-6.136318,106.80347,Jakarta Barat
226,B02045P,Komplek Keuangan,-6.234028,106.84417,Jakarta Selatan
227,B04653P,Sekolah Remaja Sungai Bambu,-6.1262,106.88414,Jakarta Utara
228,P00073,GOR Sumantri,-6.221618,106.832245,Jakarta Selatan
229,P00026,Bundaran Senayan,-6.227869,106.80094,Jakarta Selatan
230,B06437P,Sbr. SDN Utan Kayu Selatan 23 Pagi,-6.203949,106.870877,Jakarta Timur
231,B05117P,Simpang Raya KDW PKP,-6.340686,106.88691,Jakarta Timur
232,P00164,Pejaten,-6.278404,106.82972,Jakarta Selatan
233,B04984P,Simpang Mandala Raya Selatan,-6.175729,106.79887,Jakarta Barat
234,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,Jakarta Selatan
235,B01451P,Jln. Pancoran Timur V,-6.249467,106.84703,Jakarta Selatan
236,B02501P,Museum Nasional,-6.176403,106.82263,Jakarta Pusat
237,B05648P,Taman Ria,-6.213308,106.80236,Jakarta Pusat
238,P00254,Tendean,-6.240213,106.83102,Jakarta Selatan
239,B06823P,Jln. Pringgondani,-6.310813,106.806964,Jakarta Selatan
240,B03083P,Rawa Selatan 1,-6.174148,106.85794,Jakarta Pusat
241,B05912P,Yayasan Al Kholidin,-6.246823,106.80566,Jakarta Selatan
242,B03439P,Sbr. Airy Eco Binus,-6.195238,106.78878,Jakarta Barat
243,B00127P,Benhil 3,-6.21601,106.81632,Jakarta Pusat
244,B00452P,Gg. H. Abdul Rohim Marunda,-6.120614,106.957,Jakarta Utara
245,B05109P,Simpang Raya Bekasi Rawa Kuning,-6.190565,106.96723,Jakarta Timur
246,B06829P,Gg. H. Bontong,-6.328009,106.824253,Jakarta Selatan
247,P00106,Kebayoran Lama,-6.23834,106.77752,Jakarta Selatan
248,B00342P,Essence Dharmawangsa,-6.257365,106.80495,Jakarta Selatan
249,P00263,TU Gas,-6.19241,106.90489,Jakarta Timur
250,B01154P,Jln. IKPN Bintaro,-6.25997,106.76787,Jakarta Selatan
251,B04505P,Sbr. Standard Chartered,-6.217407,106.81934,Jakarta Selatan
252,B05925P,Yayasan Muhammadiyah 2,-6.196871,106.81431,Jakarta Pusat
253,B03280P,Rusun Klender,-6.216567,106.92868,Jakarta Timur
254,B04520P,Sbr. Taman Bayu,-6.224526,106.91067,Jakarta Timur
255,B00777P,Hotel Mega Anggrek,-6.184825,106.78994,Jakarta Barat
256,B03686P,Sbr. Jln. Darma Wanita V,-6.160782,106.73104,Jakarta Barat
257,B02313P,Masjid Jami Al Inayah,-6.224554,106.86945,Jakarta Timur
258,B02974P,Pospol Makasar,-6.246997,106.90659,Jakarta Timur
259,P00066,Gatot Subroto Jamsostek Arah Timur,-6.232602,106.82162,Jakarta Selatan
260,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424,Jakarta Pusat
261,B02208P,Mandara Permai 6,-6.11621,106.75871,Jakarta Utara
262,B06423P,Taman Pramuka,-6.194029,106.860802,Jakarta Pusat
263,B01835P,Karet Sudirman 1,-6.212995,106.82,Jakarta Selatan
264,P00274,Yos Sudarso Kodamar,-6.162043,106.88169,Jakarta Utara
265,P00001,Adam Malik,-6.236466,106.74786,Jakarta Selatan
266,B00195P,Buaran Plaza,-6.217983,106.9235,Jakarta Timur
267,P00268,Velbak,-6.239433,106.78552,Jakarta Selatan
268,B02818P,Perumnas Klender 2,-6.216652,106.9308,Jakarta Timur
269,B02253P,Masjid Al Mukarromah Jampea,-6.108361,106.90098,Jakarta Utara
270,B03079P,Rawa Barat 1,-6.238813,106.8159,Jakarta Selatan
271,B01870P,Kec. Grogol Petamburan,-6.178341,106.7833,Jakarta Barat
272,P00025,Bundaran HI,-6.193021,106.823,Jakarta Pusat
273,B00596P,Gedung Granadi,-6.231311,106.83301,Jakarta Selatan
274,B05478P,St. LRT Velodrome 2,-6.192994,106.89107,Jakarta Timur
275,B06009P,Garasi Parna Raya,-6.14638,106.92353,Jakarta Utara
276,B03513P,Sbr. Gg. Bulak I Rorotan,-6.132862,106.9553,Jakarta Utara
277,P00134,Matraman 1,-6.19998,106.85443,Jakarta Timur
278,P00148,Pasar Baru Timur,-6.162272,106.83811,Jakarta Pusat
279,B01620P,Jln. Swadaya Pln,-6.20965,106.90171,Jakarta Timur
280,P00099,Kalideres,-6.154412,106.7055,Jakarta Barat
281,B05671P,Tanah Koja,-6.209364,106.90161,Jakarta Timur
282,B03205P,Rsu Pengayoman,-6.214694,106.88352,Jakarta Timur
283,B05445P,St. Gondangdia 2,-6.185054,106.8323,Jakarta Pusat
284,P00150,Pasar Cempaka Putih,-6.172325,106.86246,Jakarta Pusat
285,B02900P,Polsek Cengkareng 1,-6.146466,106.72881,Jakarta Barat
286,B06665P,Pengadilan Negeri Jaktim 2,-6.212604,106.94082,Jakarta Timur
287,B02553P,Pal Batu 1,-6.224652,106.84731,Jakarta Selatan
288,P00131,Mangga Dua,-6.136148,106.82597,Jakarta Utara
289,B04399P,Sbr. Sekolah Tj. Priok,-6.114718,106.91093,Jakarta Utara
290,B05488P,St. MRT Fatmawati,-6.292589,106.7936,Jakarta Selatan
291,B01511P,Jln. Pondok Kelapa Selatan,-6.249524,106.93552,Jakarta Timur
292,B00128P,Benteng Betawi,-6.174158,106.65559,
293,B05635P,Taman Panglima Polim,-6.251369,106.79751,Jakarta Selatan
294,B00978P,Jln. Cempaka Putih Barat III,-6.176146,106.86188,Jakarta Pusat
295,P00221,Seskoal,-6.238064,106.77121,Jakarta Selatan
296,B01028P,Jln. Damai Raya,-6.248569,106.75674,Jakarta Selatan
297,B06837P,Simpang Ubin,-6.330948,106.828959,Jakarta Selatan
298,B05881P,Wijaya Kusuma,-6.333008,106.83567,Jakarta Selatan
299,B03142P,RS Hermina,-6.22085,106.86512,Jakarta Timur
300,B01773P,Jembatan Tiga 2,-6.132751,106.79245,Jakarta Utara
301,P00161,Pecenongan,-6.16771,106.82819,Jakarta Pusat
302,B01166P,Jln. Janur Indah XI,-6.155924,106.90801,Jakarta Utara
303,B04521P,Sbr. Taman BMW,-6.12629,106.85763,Jakarta Utara
304,B05798P,Transjakarta Pool Klender,-6.205191,106.90301,Jakarta Timur
305,P00103,Karet Kuningan,-6.21667,106.830737,Jakarta Selatan
306,B00304P,Dewan Pers,-6.182996,106.82709,Jakarta Pusat
307,B02038P,Komplek Hankam Cidodol,-6.227802,106.77836,Jakarta Selatan
308,B05658P,Taman Suryo,-6.233753,106.81265,Jakarta Selatan
309,B00366P,Flyover Pulo Gebang 1,-6.210497,106.95047,Jakarta Timur
310,B01004P,Jln. Cilincing Baru Raya,-6.106927,106.92672,Jakarta Utara
311,B02082P,Casablanca,-6.22425,106.84452,Jakarta Selatan
312,B04147P,Sbr. Ps. Jelambar Polri,-6.160684,106.77849,Jakarta Barat
313,P00194,Pulo Gebang,-6.213275,106.953327,Jakarta Timur
314,B06312P,Sbr. Gg. Elektro,-6.114391,106.80278,Jakarta Utara
315,B05535P,STMT Trisakti 1,-6.231933,106.87782,Jakarta Timur
316,B06654P,Walikota Jakarta Timur 1,-6.212327,106.94515,Jakarta Timur
317,B02650P,Ps. Muara Karang,-6.116367,106.77824,Jakarta Utara
318,B02896P,Polda Metro Jaya 1,-6.221726,106.80984,Jakarta Selatan
319,P00098,Kali Besar Barat,-6.135355,106.81143,Jakarta Barat
320,B05202P,Simpang Tiga Pulo Gebang Raya,-6.206982,106.95468,Jakarta Timur
321,B05615P,Taman Malaka Barat 1D,-6.231106,106.92698,Jakarta Timur
322,P00129,Mampang Prapatan,-6.242699,106.82572,Jakarta Selatan
323,B00793P,Imigrasi Kelas 1 Jakut,-6.145052,106.89379,Jakarta Utara
324,B02942P,Pool Hiba Utama 2,-6.20608,106.90261,Jakarta Timur
325,P00229,SMP 140,-6.139776,106.8592,Jakarta Utara
326,B05785P,TPU Kb. Nanas 2,-6.232106,106.88017,Jakarta Timur
327,B00312P,Direktorat Jenderal Hortikultura,-6.285538,106.8393,Jakarta Selatan
328,B00500P,Gg. Kurung KDW,-6.330806,106.88214,Jakarta Timur
329,B01673P,Jln. Tebet Timur III,-6.237629,106.85348,Jakarta Selatan
330,P00226,Slipi Kemanggisan Arah Utara,-6.189906,106.79694,Jakarta Barat
331,B04247P,Sbr. Pusat Promosi Industri Kayu Mebel,-6.202664,106.90336,Jakarta Timur
332,P00170,Penjaringan,-6.126306,106.79203,Jakarta Utara
333,P00014,Bermis,-6.178203,106.89859,Jakarta Timur
334,B00313P,Direktorat Jenderal Pajak,-6.224628,106.81558,Jakarta Selatan
335,B06085P,Tebet Eco Park Selatan 2,-6.240297,106.85297,Jakarta Selatan
336,B05924P,Yayasan Muhammadiyah 1,-6.197045,106.81442,Jakarta Pusat
337,B04217P,Sbr. Polsek Jagakarsa,-6.350808,106.80775,Jakarta Selatan
338,B02085P,KPK,-6.207575,106.8302,Jakarta Selatan
339,P00166,Pemuda Pramuka,-6.192795,106.87498,Jakarta Timur
340,B05821P,UMJ 2,-6.295705,106.76554,
341,P00236,Summarecon Bekasi,-6.225566,107.00281,
342,B00245P,Child Care Pre School,-6.257557,106.8009,Jakarta Selatan
343,P00184,Pondok Indah 1,-6.286761,106.77999,Jakarta Selatan
344,B01635P,Jln. Tali Kota Bambu Selatan,-6.189326,106.79927,Jakarta Barat
345,B05170P,Simpang Tanah Tinggi Timur,-6.174437,106.85231,Jakarta Pusat
346,B04263P,Sbr. Puskesmas Setiabudi,-6.206882,106.83363,Jakarta Selatan
347,P00272,Walikota Jakarta Utara Arah Utara,-6.118842,106.89314,Jakarta Utara
348,P00227,Slipi Petamburan Arah Utara,-6.20203,106.79989,Jakarta Pusat
349,B03299P,Rusun Waduk Pluit,-6.111456,106.80022,Jakarta Utara
350,B03773P,Sbr. Jln. Malaka HB,-6.142374,106.95639,Jakarta Utara
351,P00080,Imigrasi Jakarta Timur,-6.214632,106.88227,Jakarta Timur
352,B04140P,Sbr. Ps. Deprok 1,-6.217656,106.89506,Jakarta Timur
353,B00420P,Gg. Beringin,-6.384603,106.8292,
354,P00151,Pasar Enjo,-6.214881,106.87819,Jakarta Timur
355,B00955P,Jln. Bumi Pratama III,-6.296434,106.87835,Jakarta Timur
356,B04430P,Sbr. SMAN 67,-6.27548,106.88618,Jakarta Timur
357,B00236P,Cawang UKI 1,-6.250807,106.87364,Jakarta Timur
